,0
0,0.3647884
1,0.6418994
2,0.15463841
3,0.46855292
4,0.36292064
5,0.109129876
6,0.03176424
7,0.60557246
8,0.23211893
9,0.3284835
10,0.3978311
11,0.7094306
12,0.37130588
13,0.07237527
14,0.18477854
15,0.59052086
16,0.77792287
17,0.333157
18,0.37922886
19,0.17578089
20,0.25622413
21,0.7177164
22,0.44254997
23,0.07484618
24,0.2744593
25,0.3926878
26,0.19717222
27,0.9341627
28,0.6597721
29,0.996627
30,0.43072516
31,0.4426847
32,0.7026584
33,0.0557338
34,0.33880466
35,0.5552752
36,0.9894077
37,0.8958048
38,0.8923244
39,0.6241768
40,0.78395844
41,0.02490753
42,0.07644218
43,0.6439637
44,0.63231945
45,0.6326802
46,0.6963091
47,0.2928
48,0.31856334
49,0.42740571
50,0.03226626
51,0.5696006
52,0.46712804
53,0.41881108
54,0.7686899
55,0.82314146
56,0.9024266
57,0.1044265
58,0.23746905
59,0.78020275
60,0.61191064
61,0.73916614
62,0.44409704
63,0.82951784
64,0.5505259
65,0.23285529
66,0.5008227
67,0.1646423
68,0.21091989
69,0.38943797
70,0.8403184
71,0.33543888
72,0.08339578
73,0.31047988
74,0.21965769
75,0.8731426
76,0.24865517
77,0.6078286
78,0.56680894
79,0.040138036
80,0.7143513
81,0.39673984
82,0.8867084
83,0.10073981
84,0.35783523
85,0.66283816
86,0.5054561
87,0.9902916
88,0.5853349
89,0.91360354
90,0.6700052
91,0.07531679
92,0.2904772
93,0.41320777
94,0.63725173
95,0.6159529
96,0.029370546
97,0.87351763
98,0.14501321
99,0.12551263
100,0.70881116
101,0.9630121
102,0.57159287
103,0.20819402
104,0.3079341
105,0.9333875
106,0.7179797
107,0.4590084
108,0.588489
109,0.20522872
110,0.20860106
111,0.6625161
112,0.7351581
113,0.50221545
114,0.8954944
115,0.5876734
116,0.6890644
117,0.37684536
118,0.6666643
119,0.085850626
120,0.21587354
121,0.5123521
122,0.9967482
123,0.9899813
124,0.58034176
125,0.77845985
126,0.8101058
127,0.56383497
128,0.67099863
129,0.3125424
130,0.21614653
131,0.92206603
132,0.3670575
133,0.9694587
134,0.068459034
135,0.4059679
136,0.34004027
137,0.9882337
138,0.18591991
139,0.16534671
140,0.18573463
141,0.97824526
142,0.8504425
143,0.49255863
144,0.23011777
145,0.82924765
146,0.86428905
147,0.71927446
148,0.7822955
149,0.87314945
150,0.97405744
151,0.7254689
152,0.068523675
153,0.37302887
154,0.6376725
155,0.23703033
156,0.87376153
157,0.053111613
158,0.88128096
159,0.60447943
160,0.8288263
161,0.17836204
162,0.86503017
163,0.46968958
164,0.71898377
165,0.7658446
166,0.26413727
167,0.35224462
168,0.9578172
169,0.6828995
170,0.15252373
171,0.87357163
172,0.32572296
173,0.59898573
174,0.5972846
175,0.7721778
176,0.9338987
177,0.66297925
178,0.20674023
179,0.8738054
180,0.8258703
181,0.44964573
182,0.5830027
183,0.7815335
184,0.47003967
185,0.23817831
186,0.03122273
187,0.49170932
188,0.52270246
189,0.9227073
190,0.75308704
191,0.65352666
192,0.5667727
193,0.92176354
194,0.040770084
195,0.8972043
196,0.9455874
197,0.16544908
198,0.857195
